일련번호,시간,하중,변위,테이블,강도,변형율
,[sec],[kN],[mm],[mm],[kN/mm²],[%]
1,0.000,0.0000,0.00000,0.00190,0.0000,0.00000
2,0.010,0.0000,0.00230,0.00230,0.0000,0.00149
3,0.027,0.0000,0.00270,0.00270,0.0000,0.00175
4,0.043,0.0000,0.00310,0.00310,0.0000,0.00201
5,0.058,0.0000,0.00350,0.00350,0.0000,0.00227
6,0.074,0.0000,0.00390,0.00390,0.0000,0.00253
7,0.090,0.0000,0.00430,0.00430,0.0000,0.00279
8,0.106,0.0000,0.00470,0.00470,0.0000,0.00305
9,0.122,0.0000,0.00510,0.00510,0.0000,0.00331
10,0.139,0.0000,0.00550,0.00550,0.0000,0.00357
11,0.155,0.0000,0.00590,0.00590,0.0000,0.00383
12,0.171,0.0000,0.00630,0.00630,0.0000,0.00409
13,0.187,0.0000,0.00670,0.00670,0.0000,0.00435
14,0.203,0.0000,0.00710,0.00710,0.0000,0.00461
15,0.219,0.0000,0.00760,0.00760,0.0000,0.00493
16,0.234,0.0000,0.00800,0.00800,0.0000,0.00519
17,0.251,0.0000,0.00840,0.00840,0.0000,0.00545
18,0.267,0.0000,0.00880,0.00880,0.0000,0.00571
19,0.283,0.0000,0.00920,0.00920,0.0000,0.00597
20,0.298,0.0000,0.00960,0.00960,0.0000,0.00623
21,0.315,0.0000,0.01000,0.01000,0.0000,0.00649
22,0.331,0.0000,0.01040,0.01040,0.0000,0.00675
23,0.346,0.0000,0.01080,0.01080,0.0000,0.00701
24,0.363,0.0000,0.01120,0.01120,0.0000,0.00727
25,0.379,0.0000,0.01160,0.01160,0.0000,0.00753
26,0.394,0.0000,0.01200,0.01200,0.0000,0.00779
27,0.411,0.0000,0.01240,0.01240,0.0000,0.00805
28,0.427,0.0000,0.01290,0.01290,0.0000,0.00838
29,0.442,0.0000,0.01330,0.01330,0.0000,0.00863
30,0.459,0.0000,0.01370,0.01370,0.0000,0.00889
31,0.475,0.0000,0.01410,0.01410,0.0000,0.00915
32,0.490,0.0000,0.01450,0.01450,0.0000,0.00941
33,0.507,0.0000,0.01500,0.01500,0.0000,0.00974
34,0.523,0.0000,0.01540,0.01540,0.0000,0.01000
35,0.539,0.0000,0.01580,0.01580,0.0000,0.01026
36,0.555,0.0000,0.01620,0.01620,0.0000,0.01052
37,0.571,0.0000,0.01660,0.01660,0.0000,0.01078
38,0.588,0.0000,0.01700,0.01700,0.0000,0.01104
39,0.603,0.0000,0.01740,0.01740,0.0000,0.01130
40,0.620,0.0000,0.01780,0.01780,0.0000,0.01156
41,0.636,0.0000,0.01820,0.01820,0.0000,0.01182
42,0.651,0.0000,0.01860,0.01860,0.0000,0.01208
43,0.667,0.0000,0.01900,0.01900,0.0000,0.01234
44,0.683,0.0000,0.01940,0.01940,0.0000,0.01260
45,0.699,0.0000,0.01980,0.01980,0.0000,0.01285
46,0.714,0.0000,0.02020,0.02020,0.0000,0.01311
47,0.731,0.0000,0.02070,0.02070,0.0000,0.01344
48,0.748,0.0000,0.02110,0.02110,0.0000,0.01370
49,0.763,0.0000,0.02150,0.02150,0.0000,0.01396
50,0.779,0.0000,0.02190,0.02190,0.0000,0.01422
51,0.796,0.0000,0.02230,0.02230,0.0000,0.01448
52,0.812,0.0000,0.02270,0.02270,0.0000,0.01474
53,0.827,0.0000,0.02320,0.02320,0.0000,0.01506
54,0.843,0.0000,0.02360,0.02360,0.0000,0.01532
55,0.860,0.0000,0.02400,0.02400,0.0000,0.01558
56,0.876,0.0000,0.02440,0.02440,0.0000,0.01584
57,0.891,0.0000,0.02480,0.02480,0.0000,0.01610
58,0.907,0.0000,0.02520,0.02520,0.0000,0.01636
59,0.924,0.0000,0.02560,0.02560,0.0000,0.01662
60,0.939,0.0000,0.02600,0.02600,0.0000,0.01688
61,0.955,0.0000,0.02640,0.02640,0.0000,0.01714
62,0.972,0.0000,0.02680,0.02680,0.0000,0.01740
63,0.988,0.0000,0.02720,0.02720,0.0000,0.01766
64,1.004,0.0000,0.02760,0.02760,0.0000,0.01792
65,1.019,0.0000,0.02800,0.02800,0.0000,0.01818
66,1.036,0.0000,0.02850,0.02850,0.0000,0.01850
67,1.052,0.0000,0.02890,0.02890,0.0000,0.01876
68,1.067,0.0000,0.02930,0.02930,0.0000,0.01902
69,1.083,0.0000,0.02970,0.02970,0.0000,0.01928
70,1.100,0.0000,0.03010,0.03010,0.0000,0.01954
71,1.115,0.0000,0.03050,0.03050,0.0000,0.01980
72,1.132,0.0000,0.03090,0.03090,0.0000,0.02006
73,1.149,0.0000,0.03130,0.03130,0.0000,0.02032
74,1.164,0.0000,0.03170,0.03170,0.0000,0.02058
75,1.179,0.0000,0.03210,0.03210,0.0000,0.02084
76,1.195,0.0000,0.03250,0.03250,0.0000,0.02110
77,1.212,0.0000,0.03290,0.03290,0.0000,0.02136
78,1.227,0.0000,0.03330,0.03330,0.0000,0.02162
79,1.243,0.0000,0.03370,0.03370,0.0000,0.02188
