일련번호,시간,하중,변위,테이블,강도,변형율
,[sec],[kN],[mm],[mm],[kN/mm²],[%]
1,0.000,0.0000,0.00000,0.00620,0.0000,0.00000
2,0.013,0.0000,0.00750,0.00750,0.0000,0.01500
3,0.029,0.0000,0.00880,0.00880,0.0000,0.01760
4,0.045,0.0000,0.01020,0.01020,0.0000,0.02040
5,0.061,0.0000,0.01150,0.01150,0.0000,0.02300
6,0.077,0.0000,0.01280,0.01280,0.0000,0.02560
7,0.092,0.0000,0.01420,0.01420,0.0000,0.02840
8,0.109,0.0000,0.01550,0.01550,0.0000,0.03100
9,0.125,0.0104,0.01680,0.01680,0.0002,0.03360
10,0.141,0.0122,0.01820,0.01820,0.0003,0.03640
11,0.157,0.0134,0.01950,0.01950,0.0003,0.03900
12,0.173,0.0147,0.02080,0.02080,0.0003,0.04160
13,0.189,0.0159,0.02210,0.02210,0.0004,0.04420
14,0.205,0.0159,0.02350,0.02350,0.0004,0.04700
15,0.221,0.0171,0.02480,0.02480,0.0004,0.04960
16,0.237,0.0195,0.02610,0.02610,0.0004,0.05220
17,0.254,0.0214,0.02740,0.02740,0.0005,0.05480
18,0.270,0.0232,0.02880,0.02880,0.0005,0.05760
19,0.286,0.0250,0.03010,0.03010,0.0006,0.06020
20,0.301,0.0269,0.03150,0.03150,0.0006,0.06300
21,0.317,0.0281,0.03280,0.03280,0.0006,0.06560
22,0.333,0.0299,0.03410,0.03410,0.0007,0.06820
23,0.350,0.0312,0.03540,0.03540,0.0007,0.07080
24,0.367,0.0330,0.03680,0.03680,0.0007,0.07360
25,0.381,0.0330,0.03810,0.03810,0.0007,0.07620
26,0.397,0.0330,0.03950,0.03950,0.0007,0.07900
27,0.413,0.0354,0.04080,0.04080,0.0008,0.08160
28,0.429,0.0379,0.04210,0.04210,0.0008,0.08420
29,0.446,0.0397,0.04350,0.04350,0.0009,0.08700
30,0.461,0.0409,0.04480,0.04480,0.0009,0.08960
31,0.478,0.0428,0.04620,0.04620,0.0010,0.09240
32,0.494,0.0440,0.04750,0.04750,0.0010,0.09500
33,0.509,0.0458,0.04880,0.04880,0.0010,0.09760
34,0.526,0.0477,0.05010,0.05010,0.0011,0.10020
35,0.541,0.0489,0.05150,0.05150,0.0011,0.10300
36,0.558,0.0501,0.05290,0.05290,0.0011,0.10580
37,0.573,0.0489,0.05420,0.05420,0.0011,0.10840
38,0.591,0.0507,0.05550,0.05550,0.0011,0.11100
39,0.605,0.0532,0.05680,0.05680,0.0012,0.11360
40,0.621,0.0556,0.05820,0.05820,0.0012,0.11640
41,0.638,0.0574,0.05950,0.05950,0.0013,0.11900
42,0.653,0.0593,0.06080,0.06080,0.0013,0.12160
43,0.669,0.0611,0.06210,0.06210,0.0014,0.12420
44,0.686,0.0629,0.06350,0.06350,0.0014,0.12700
45,0.702,0.0648,0.06480,0.06480,0.0015,0.12960
46,0.718,0.0660,0.06620,0.06620,0.0015,0.13240
47,0.733,0.0678,0.06750,0.06750,0.0015,0.13500
48,0.749,0.0691,0.06880,0.06880,0.0015,0.13760
49,0.765,0.0697,0.07010,0.07010,0.0016,0.14020
50,0.781,0.0715,0.07140,0.07140,0.0016,0.14280
51,0.797,0.0727,0.07280,0.07280,0.0016,0.14560
52,0.814,0.0746,0.07410,0.07410,0.0017,0.14820
53,0.829,0.0764,0.07540,0.07540,0.0017,0.15080
54,0.845,0.0776,0.07680,0.07680,0.0017,0.15360
55,0.861,0.0788,0.07810,0.07810,0.0018,0.15620
56,0.878,0.0801,0.07950,0.07950,0.0018,0.15900
57,0.893,0.0813,0.08080,0.08080,0.0018,0.16160
58,0.909,0.0831,0.08210,0.08210,0.0019,0.16420
59,0.926,0.0837,0.08340,0.08340,0.0019,0.16680
60,0.941,0.0843,0.08480,0.08480,0.0019,0.16960
61,0.957,0.0868,0.08610,0.08610,0.0019,0.17220
62,0.974,0.0880,0.08750,0.08750,0.0020,0.17500
63,0.990,0.0898,0.08880,0.08880,0.0020,0.17760
64,1.006,0.0904,0.09010,0.09010,0.0020,0.18020
65,1.022,0.0923,0.09150,0.09150,0.0021,0.18300
66,1.039,0.0941,0.09280,0.09280,0.0021,0.18560
67,1.054,0.0959,0.09420,0.09420,0.0021,0.18840
68,1.070,0.0978,0.09550,0.09550,0.0022,0.19100
69,1.086,0.0990,0.09680,0.09680,0.0022,0.19360
70,1.102,0.1008,0.09810,0.09810,0.0023,0.19620
71,1.119,0.1033,0.09950,0.09950,0.0023,0.19900
72,1.133,0.1045,0.10080,0.10080,0.0023,0.20160
73,1.150,0.1063,0.10220,0.10220,0.0024,0.20440
74,1.166,0.1076,0.10350,0.10350,0.0024,0.20700
75,1.182,0.1088,0.10480,0.10480,0.0024,0.20960
76,1.198,0.1100,0.10610,0.10610,0.0025,0.21220
77,1.214,0.1118,0.10750,0.10750,0.0025,0.21500
78,1.231,0.1137,0.10880,0.10880,0.0025,0.21760
79,1.247,0.1149,0.11010,0.11010,0.0026,0.22020
80,1.262,0.1155,0.11140,0.11140,0.0026,0.22280
81,1.278,0.1173,0.11280,0.11280,0.0026,0.22560
82,1.294,0.1192,0.11410,0.11410,0.0027,0.22820
83,1.310,0.1216,0.11540,0.11540,0.0027,0.23080
84,1.326,0.1222,0.11670,0.11670,0.0027,0.23340
85,1.342,0.1235,0.11810,0.11810,0.0028,0.23620
86,1.359,0.1241,0.11940,0.11940,0.0028,0.23880
87,1.375,0.1253,0.12080,0.12080,0.0028,0.24160
88,1.390,0.1271,0.12210,0.12210,0.0028,0.24420
89,1.407,0.1283,0.12340,0.12340,0.0029,0.24680
90,1.422,0.1296,0.12470,0.12470,0.0029,0.24940
91,1.438,0.1308,0.12610,0.12610,0.0029,0.25220
92,1.454,0.1326,0.12750,0.12750,0.0030,0.25500
93,1.470,0.1338,0.12880,0.12880,0.0030,0.25760
94,1.486,0.1369,0.13010,0.13010,0.0031,0.26020
95,1.502,0.1381,0.13150,0.13150,0.0031,0.26300
96,1.519,0.1393,0.13280,0.13280,0.0031,0.26560
97,1.535,0.1406,0.13410,0.13410,0.0032,0.26820
98,1.551,0.1418,0.13550,0.13550,0.0032,0.27100
99,1.566,0.1430,0.13680,0.13680,0.0032,0.27360
100,1.583,0.1448,0.13810,0.13810,0.0032,0.27620
101,1.599,0.1467,0.13950,0.13950,0.0033,0.27900
102,1.615,0.1485,0.14080,0.14080,0.0033,0.28160
103,1.630,0.1491,0.14220,0.14220,0.0033,0.28440
104,1.647,0.1510,0.14350,0.14350,0.0034,0.28700
105,1.663,0.1534,0.14480,0.14480,0.0034,0.28960
106,1.679,0.1558,0.14610,0.14610,0.0035,0.29220
107,1.695,0.1565,0.14750,0.14750,0.0035,0.29500
108,1.712,0.1577,0.14880,0.14880,0.0035,0.29760
109,1.726,0.1589,0.15010,0.15010,0.0036,0.30020
110,1.743,0.1601,0.15140,0.15140,0.0036,0.30280
111,1.758,0.1613,0.15270,0.15270,0.0036,0.30540
112,1.775,0.1620,0.15410,0.15410,0.0036,0.30820
113,1.791,0.1638,0.15540,0.15540,0.0037,0.31080
114,1.806,0.1650,0.15680,0.15680,0.0037,0.31360
115,1.823,0.1669,0.15810,0.15810,0.0037,0.31620
116,1.839,0.1675,0.15940,0.15940,0.0038,0.31880
117,1.855,0.1711,0.16070,0.16070,0.0038,0.32140
118,1.871,0.1724,0.16210,0.16210,0.0039,0.32420
119,1.887,0.1730,0.16340,0.16340,0.0039,0.32680
120,1.903,0.1742,0.16480,0.16480,0.0039,0.32960
121,1.919,0.1760,0.16610,0.16610,0.0039,0.33220
122,1.936,0.1779,0.16740,0.16740,0.0040,0.33480
123,1.951,0.1791,0.16880,0.16880,0.0040,0.33760
124,1.967,0.1797,0.17010,0.17010,0.0040,0.34020
125,1.982,0.1815,0.17150,0.17150,0.0041,0.34300
126,1.999,0.1827,0.17280,0.17280,0.0041,0.34560
127,2.015,0.1834,0.17410,0.17410,0.0041,0.34820
128,2.031,0.1852,0.17550,0.17550,0.0042,0.35100
129,2.048,0.1870,0.17680,0.17680,0.0042,0.35360
130,2.063,0.1882,0.17820,0.17820,0.0042,0.35640
131,2.079,0.1895,0.17950,0.17950,0.0042,0.35900
132,2.095,0.1913,0.18080,0.18080,0.0043,0.36160
133,2.111,0.1925,0.18210,0.18210,0.0043,0.36420
134,2.128,0.1931,0.18350,0.18350,0.0043,0.36700
135,2.143,0.1950,0.18480,0.18480,0.0044,0.36960
136,2.159,0.1956,0.18610,0.18610,0.0044,0.37220
137,2.176,0.1968,0.18740,0.18740,0.0044,0.37480
138,2.191,0.1986,0.18880,0.18880,0.0045,0.37760
139,2.207,0.1992,0.19010,0.19010,0.0045,0.38020
140,2.224,0.2005,0.19140,0.19140,0.0045,0.38280
141,2.240,0.2023,0.19280,0.19280,0.0045,0.38560
142,2.255,0.2035,0.19410,0.19410,0.0046,0.38820
143,2.271,0.2047,0.19540,0.19540,0.0046,0.39080
144,2.287,0.2060,0.19680,0.19680,0.0046,0.39360
145,2.303,0.2072,0.19810,0.19810,0.0046,0.39620
146,2.319,0.2090,0.19940,0.19940,0.0047,0.39880
147,2.335,0.2102,0.20070,0.20070,0.0047,0.40140
148,2.352,0.2109,0.20210,0.20210,0.0047,0.40420
149,2.367,0.2121,0.20340,0.20340,0.0048,0.40680
150,2.384,0.2127,0.20480,0.20480,0.0048,0.40960
151,2.399,0.2133,0.20610,0.20610,0.0048,0.41220
152,2.415,0.2151,0.20740,0.20740,0.0048,0.41480
153,2.431,0.2164,0.20870,0.20870,0.0048,0.41740
154,2.448,0.2176,0.21010,0.21010,0.0049,0.42020
155,2.463,0.2188,0.21150,0.21150,0.0049,0.42300
156,2.479,0.2206,0.21280,0.21280,0.0049,0.42560
157,2.496,0.2219,0.21410,0.21410,0.0050,0.42820
158,2.511,0.2231,0.21540,0.21540,0.0050,0.43080
159,2.528,0.2243,0.21680,0.21680,0.0050,0.43360
160,2.544,0.2255,0.21810,0.21810,0.0051,0.43620
161,2.560,0.2268,0.21950,0.21950,0.0051,0.43900
162,2.575,0.2268,0.22080,0.22080,0.0051,0.44160
163,2.591,0.2280,0.22210,0.22210,0.0051,0.44420
164,2.608,0.2298,0.22350,0.22350,0.0051,0.44700
165,2.623,0.2323,0.22480,0.22480,0.0052,0.44960
166,2.639,0.2341,0.22610,0.22610,0.0052,0.45220
167,2.655,0.2353,0.22750,0.22750,0.0053,0.45500
168,2.672,0.2371,0.22880,0.22880,0.0053,0.45760
169,2.688,0.2384,0.23010,0.23010,0.0053,0.46020
170,2.703,0.2396,0.23140,0.23140,0.0054,0.46280
171,2.721,0.2414,0.23280,0.23280,0.0054,0.46560
172,2.736,0.2433,0.23410,0.23410,0.0055,0.46820
173,2.752,0.2433,0.23540,0.23540,0.0055,0.47080
174,2.769,0.2426,0.23670,0.23670,0.0054,0.47340
175,2.784,0.2451,0.23810,0.23810,0.0055,0.47620
176,2.799,0.2469,0.23940,0.23940,0.0055,0.47880
177,2.815,0.2488,0.24080,0.24080,0.0056,0.48160
178,2.832,0.2506,0.24210,0.24210,0.0056,0.48420
179,2.848,0.2518,0.24340,0.24340,0.0056,0.48680
180,2.864,0.2536,0.24470,0.24470,0.0057,0.48940
181,2.880,0.2549,0.24610,0.24610,0.0057,0.49220
182,2.896,0.2561,0.24740,0.24740,0.0057,0.49480
183,2.912,0.2579,0.24870,0.24870,0.0058,0.49740
184,2.928,0.2585,0.25010,0.25010,0.0058,0.50020
185,2.944,0.2585,0.25140,0.25140,0.0058,0.50280
186,2.960,0.2598,0.25280,0.25280,0.0058,0.50560
187,2.976,0.2622,0.25410,0.25410,0.0059,0.50820
188,2.992,0.2640,0.25540,0.25540,0.0059,0.51080
189,3.007,0.2659,0.25680,0.25680,0.0060,0.51360
190,3.023,0.2671,0.25810,0.25810,0.0060,0.51620
191,3.040,0.2683,0.25950,0.25950,0.0060,0.51900
192,3.057,0.2695,0.26080,0.26080,0.0060,0.52160
