일련번호,시간,하중,변위,테이블,강도,변형율
,[sec],[kN],[mm],[mm],[kN/mm²],[%]
1,0.000,0.0000,0.00000,0.00610,0.0000,0.00000
2,0.014,0.0000,0.00750,0.00750,0.0000,0.01500
3,0.030,0.0000,0.00880,0.00880,0.0000,0.01760
4,0.046,0.0000,0.01010,0.01010,0.0000,0.02020
5,0.063,0.0104,0.01150,0.01150,0.0002,0.02300
6,0.078,0.0116,0.01280,0.01280,0.0003,0.02560
7,0.094,0.0135,0.01420,0.01420,0.0003,0.02840
8,0.110,0.0147,0.01550,0.01550,0.0003,0.03100
9,0.125,0.0165,0.01680,0.01680,0.0004,0.03360
10,0.142,0.0178,0.01820,0.01820,0.0004,0.03640
11,0.158,0.0184,0.01950,0.01950,0.0004,0.03900
12,0.175,0.0202,0.02080,0.02080,0.0005,0.04160
13,0.190,0.0214,0.02220,0.02220,0.0005,0.04440
14,0.206,0.0233,0.02350,0.02350,0.0005,0.04700
15,0.222,0.0245,0.02480,0.02480,0.0006,0.04960
16,0.238,0.0257,0.02620,0.02620,0.0006,0.05240
17,0.254,0.0269,0.02750,0.02750,0.0006,0.05500
18,0.270,0.0282,0.02880,0.02880,0.0006,0.05760
19,0.287,0.0294,0.03010,0.03010,0.0007,0.06020
20,0.302,0.0312,0.03150,0.03150,0.0007,0.06300
21,0.318,0.0330,0.03280,0.03280,0.0007,0.06560
22,0.334,0.0330,0.03420,0.03420,0.0007,0.06840
23,0.350,0.0343,0.03550,0.03550,0.0008,0.07100
24,0.366,0.0361,0.03680,0.03680,0.0008,0.07360
25,0.382,0.0385,0.03810,0.03810,0.0009,0.07620
26,0.399,0.0398,0.03950,0.03950,0.0009,0.07900
27,0.414,0.0410,0.04080,0.04080,0.0009,0.08160
28,0.430,0.0428,0.04210,0.04210,0.0010,0.08420
29,0.446,0.0447,0.04340,0.04340,0.0010,0.08680
30,0.462,0.0465,0.04470,0.04470,0.0011,0.08940
31,0.478,0.0483,0.04610,0.04610,0.0011,0.09220
32,0.495,0.0502,0.04750,0.04750,0.0011,0.09500
33,0.511,0.0508,0.04880,0.04880,0.0011,0.09760
34,0.526,0.0502,0.05010,0.05010,0.0011,0.10020
35,0.543,0.0526,0.05140,0.05140,0.0012,0.10280
36,0.557,0.0550,0.05280,0.05280,0.0012,0.10560
37,0.575,0.0563,0.05410,0.05410,0.0013,0.10820
38,0.591,0.0581,0.05550,0.05550,0.0013,0.11100
39,0.606,0.0599,0.05680,0.05680,0.0014,0.11360
40,0.623,0.0605,0.05810,0.05810,0.0014,0.11620
41,0.639,0.0624,0.05950,0.05950,0.0014,0.11900
42,0.655,0.0636,0.06080,0.06080,0.0014,0.12160
43,0.671,0.0648,0.06220,0.06220,0.0015,0.12440
44,0.687,0.0667,0.06350,0.06350,0.0015,0.12700
45,0.702,0.0654,0.06480,0.06480,0.0015,0.12960
46,0.718,0.0667,0.06610,0.06610,0.0015,0.13220
47,0.734,0.0685,0.06750,0.06750,0.0015,0.13500
48,0.751,0.0709,0.06880,0.06880,0.0016,0.13760
49,0.767,0.0722,0.07010,0.07010,0.0016,0.14020
50,0.783,0.0740,0.07140,0.07140,0.0017,0.14280
51,0.799,0.0764,0.07280,0.07280,0.0017,0.14560
52,0.814,0.0777,0.07410,0.07410,0.0018,0.14820
53,0.830,0.0795,0.07550,0.07550,0.0018,0.15100
54,0.847,0.0807,0.07680,0.07680,0.0018,0.15360
55,0.863,0.0826,0.07810,0.07810,0.0019,0.15620
56,0.879,0.0826,0.07940,0.07940,0.0019,0.15880
57,0.896,0.0813,0.08080,0.08080,0.0018,0.16160
58,0.910,0.0838,0.08210,0.08210,0.0019,0.16420
59,0.927,0.0862,0.08340,0.08340,0.0019,0.16680
60,0.942,0.0881,0.08540,0.08540,0.0020,0.17080
61,0.960,0.0893,0.08670,0.08670,0.0020,0.17340
62,0.975,0.0905,0.08810,0.08810,0.0020,0.17620
63,0.990,0.0917,0.08940,0.08940,0.0021,0.17880
64,1.006,0.0936,0.09070,0.09070,0.0021,0.18140
65,1.023,0.0948,0.09210,0.09210,0.0021,0.18420
66,1.039,0.0960,0.09340,0.09340,0.0022,0.18680
67,1.055,0.0960,0.09480,0.09480,0.0022,0.18960
68,1.071,0.0948,0.09610,0.09610,0.0021,0.19220
69,1.087,0.0966,0.09740,0.09740,0.0022,0.19480
70,1.103,0.0984,0.09880,0.09880,0.0022,0.19760
71,1.119,0.0997,0.10010,0.10010,0.0023,0.20020
72,1.135,0.1009,0.10150,0.10150,0.0023,0.20300
73,1.151,0.1021,0.10280,0.10280,0.0023,0.20560
74,1.167,0.1027,0.10410,0.10410,0.0023,0.20820
75,1.184,0.1039,0.10550,0.10550,0.0024,0.21100
76,1.199,0.1052,0.10680,0.10680,0.0024,0.21360
77,1.215,0.1064,0.10810,0.10810,0.0024,0.21620
78,1.231,0.1076,0.10950,0.10950,0.0024,0.21900
79,1.247,0.1076,0.11080,0.11080,0.0024,0.22160
80,1.263,0.1094,0.11210,0.11210,0.0025,0.22420
81,1.279,0.1113,0.11340,0.11340,0.0025,0.22680
82,1.296,0.1125,0.11480,0.11480,0.0025,0.22960
83,1.311,0.1143,0.11610,0.11610,0.0026,0.23220
84,1.327,0.1156,0.11740,0.11740,0.0026,0.23480
85,1.343,0.1174,0.11870,0.11870,0.0027,0.23740
86,1.359,0.1192,0.12010,0.12010,0.0027,0.24020
87,1.376,0.1211,0.12140,0.12140,0.0027,0.24280
88,1.391,0.1229,0.12270,0.12270,0.0028,0.24540
89,1.407,0.1241,0.12410,0.12410,0.0028,0.24820
90,1.424,0.1247,0.12540,0.12540,0.0028,0.25080
91,1.439,0.1253,0.12670,0.12670,0.0028,0.25340
92,1.456,0.1278,0.12810,0.12810,0.0029,0.25620
93,1.472,0.1296,0.12940,0.12940,0.0029,0.25880
94,1.488,0.1308,0.13080,0.13080,0.0030,0.26160
95,1.504,0.1327,0.13210,0.13210,0.0030,0.26420
96,1.520,0.1333,0.13340,0.13340,0.0030,0.26680
97,1.536,0.1351,0.13470,0.13470,0.0031,0.26940
98,1.551,0.1363,0.13610,0.13610,0.0031,0.27220
99,1.567,0.1376,0.13750,0.13750,0.0031,0.27500
100,1.583,0.1388,0.13880,0.13880,0.0031,0.27760
101,1.600,0.1406,0.14010,0.14010,0.0032,0.28020
102,1.616,0.1425,0.14140,0.14140,0.0032,0.28280
103,1.632,0.1455,0.14280,0.14280,0.0033,0.28560
104,1.648,0.1461,0.14410,0.14410,0.0033,0.28820
105,1.663,0.1473,0.14550,0.14550,0.0033,0.29100
106,1.680,0.1486,0.14680,0.14680,0.0034,0.29360
107,1.695,0.1492,0.14810,0.14810,0.0034,0.29620
108,1.712,0.1510,0.14950,0.14950,0.0034,0.29900
109,1.727,0.1522,0.15080,0.15080,0.0034,0.30160
110,1.744,0.1535,0.15210,0.15210,0.0035,0.30420
111,1.760,0.1547,0.15350,0.15350,0.0035,0.30700
112,1.776,0.1565,0.15480,0.15480,0.0035,0.30960
113,1.792,0.1577,0.15610,0.15610,0.0036,0.31220
114,1.807,0.1614,0.15740,0.15740,0.0037,0.31480
115,1.823,0.1620,0.15880,0.15880,0.0037,0.31760
116,1.840,0.1620,0.16010,0.16010,0.0037,0.32020
117,1.856,0.1632,0.16140,0.16140,0.0037,0.32280
118,1.872,0.1645,0.16270,0.16270,0.0037,0.32540
119,1.888,0.1651,0.16410,0.16410,0.0037,0.32820
120,1.904,0.1663,0.16540,0.16540,0.0038,0.33080
121,1.919,0.1675,0.16670,0.16670,0.0038,0.33340
122,1.936,0.1687,0.16800,0.16800,0.0038,0.33600
123,1.952,0.1700,0.16940,0.16940,0.0038,0.33880
124,1.968,0.1712,0.17070,0.17070,0.0039,0.34140
125,1.984,0.1730,0.17210,0.17210,0.0039,0.34420
126,1.999,0.1755,0.17340,0.17340,0.0040,0.34680
127,2.016,0.1761,0.17470,0.17470,0.0040,0.34940
128,2.032,0.1761,0.17610,0.17610,0.0040,0.35220
129,2.047,0.1773,0.17740,0.17740,0.0040,0.35480
130,2.063,0.1785,0.17880,0.17880,0.0040,0.35760
131,2.080,0.1791,0.18010,0.18010,0.0041,0.36020
132,2.096,0.1797,0.18140,0.18140,0.0041,0.36280
133,2.112,0.1810,0.18280,0.18280,0.0041,0.36560
134,2.128,0.1816,0.18410,0.18410,0.0041,0.36820
135,2.145,0.1828,0.18550,0.18550,0.0041,0.37100
136,2.159,0.1840,0.18680,0.18680,0.0042,0.37360
137,2.176,0.1877,0.18810,0.18810,0.0042,0.37620
138,2.192,0.1883,0.18940,0.18940,0.0043,0.37880
139,2.209,0.1883,0.19080,0.19080,0.0043,0.38160
140,2.224,0.1895,0.19210,0.19210,0.0043,0.38420
141,2.240,0.1901,0.19350,0.19350,0.0043,0.38700
142,2.256,0.1907,0.19480,0.19480,0.0043,0.38960
143,2.273,0.1920,0.19610,0.19610,0.0043,0.39220
144,2.288,0.1932,0.19740,0.19740,0.0044,0.39480
145,2.305,0.1938,0.19880,0.19880,0.0044,0.39760
146,2.320,0.1944,0.20010,0.20010,0.0044,0.40020
147,2.337,0.1956,0.20140,0.20140,0.0044,0.40280
148,2.352,0.1981,0.20270,0.20270,0.0045,0.40540
149,2.368,0.1999,0.20410,0.20410,0.0045,0.40820
150,2.384,0.1999,0.20540,0.20540,0.0045,0.41080
151,2.400,0.2005,0.20670,0.20670,0.0045,0.41340
152,2.417,0.2011,0.20810,0.20810,0.0045,0.41620
153,2.432,0.2017,0.20940,0.20940,0.0046,0.41880
154,2.448,0.2024,0.21070,0.21070,0.0046,0.42140
155,2.464,0.2030,0.21200,0.21200,0.0046,0.42400
156,2.480,0.2042,0.21340,0.21340,0.0046,0.42680
157,2.496,0.2048,0.21470,0.21470,0.0046,0.42940
158,2.512,0.2054,0.21610,0.21610,0.0046,0.43220
159,2.529,0.2066,0.21740,0.21740,0.0047,0.43480
160,2.544,0.2097,0.21870,0.21870,0.0047,0.43740
161,2.560,0.2103,0.22010,0.22010,0.0048,0.44020
162,2.577,0.2103,0.22140,0.22140,0.0048,0.44280
163,2.593,0.2103,0.22280,0.22280,0.0048,0.44560
164,2.608,0.2109,0.22410,0.22410,0.0048,0.44820
165,2.624,0.2115,0.22540,0.22540,0.0048,0.45080
166,2.641,0.2127,0.22680,0.22680,0.0048,0.45360
167,2.656,0.2134,0.22810,0.22810,0.0048,0.45620
168,2.673,0.2146,0.22950,0.22950,0.0049,0.45900
169,2.689,0.2152,0.23080,0.23080,0.0049,0.46160
170,2.705,0.2158,0.23210,0.23210,0.0049,0.46420
171,2.720,0.2182,0.23350,0.23350,0.0049,0.46700
172,2.736,0.2195,0.23480,0.23480,0.0050,0.46960
173,2.753,0.2195,0.23610,0.23610,0.0050,0.47220
174,2.768,0.2201,0.23740,0.23740,0.0050,0.47480
175,2.785,0.2207,0.23870,0.23870,0.0050,0.47740
176,2.800,0.2213,0.24010,0.24010,0.0050,0.48020
177,2.817,0.2219,0.24140,0.24140,0.0050,0.48280
178,2.833,0.2225,0.24270,0.24270,0.0050,0.48540
179,2.848,0.2231,0.24400,0.24400,0.0050,0.48800
180,2.865,0.2237,0.24540,0.24540,0.0051,0.49080
181,2.880,0.2250,0.24670,0.24670,0.0051,0.49340
182,2.897,0.2256,0.24810,0.24810,0.0051,0.49620
183,2.912,0.2274,0.24940,0.24940,0.0051,0.49880
184,2.929,0.2280,0.25070,0.25070,0.0052,0.50140
185,2.944,0.2280,0.25200,0.25200,0.0052,0.50400
186,2.960,0.2286,0.25340,0.25340,0.0052,0.50680
187,2.977,0.2292,0.25470,0.25470,0.0052,0.50940
188,2.993,0.2299,0.25610,0.25610,0.0052,0.51220
189,3.009,0.2311,0.25740,0.25740,0.0052,0.51480
190,3.024,0.2317,0.25870,0.25870,0.0052,0.51740
191,3.041,0.2323,0.26000,0.26000,0.0053,0.52000
192,3.057,0.2335,0.26140,0.26140,0.0053,0.52280
193,3.073,0.2341,0.26280,0.26280,0.0053,0.52560
194,3.089,0.2360,0.26410,0.26410,0.0053,0.52820
195,3.105,0.2366,0.26540,0.26540,0.0054,0.53080
196,3.121,0.2366,0.26670,0.26670,0.0054,0.53340
197,3.137,0.2372,0.26810,0.26810,0.0054,0.53620
198,3.153,0.2378,0.26940,0.26940,0.0054,0.53880
199,3.168,0.2378,0.27080,0.27080,0.0054,0.54160
200,3.185,0.2384,0.27210,0.27210,0.0054,0.54420
201,3.202,0.2390,0.27340,0.27340,0.0054,0.54680
202,3.216,0.2396,0.27480,0.27480,0.0054,0.54960
203,3.233,0.2409,0.27610,0.27610,0.0054,0.55220
204,3.249,0.2415,0.27740,0.27740,0.0055,0.55480
205,3.265,0.2427,0.27880,0.27880,0.0055,0.55760
206,3.282,0.2451,0.28010,0.28010,0.0055,0.56020
207,3.297,0.2451,0.28140,0.28140,0.0055,0.56280
208,3.314,0.2464,0.28280,0.28280,0.0056,0.56560
209,3.329,0.2470,0.28410,0.28410,0.0056,0.56820
210,3.346,0.2482,0.28540,0.28540,0.0056,0.57080
211,3.361,0.2494,0.28670,0.28670,0.0056,0.57340
212,3.377,0.2506,0.28800,0.28800,0.0057,0.57600
213,3.393,0.2519,0.28940,0.28940,0.0057,0.57880
214,3.409,0.2531,0.29070,0.29070,0.0057,0.58140
215,3.426,0.2543,0.29200,0.29200,0.0058,0.58400
216,3.441,0.2555,0.29330,0.29330,0.0058,0.58660
217,3.457,0.2568,0.29470,0.29470,0.0058,0.58940
218,3.473,0.2568,0.29610,0.29610,0.0058,0.59220
219,3.489,0.2580,0.29740,0.29740,0.0058,0.59480
220,3.505,0.2598,0.29870,0.29870,0.0059,0.59740
221,3.522,0.2610,0.30000,0.30000,0.0059,0.60000
222,3.539,0.2616,0.30140,0.30140,0.0059,0.60280
223,3.553,0.2623,0.30270,0.30270,0.0059,0.60540
224,3.569,0.2635,0.30410,0.30410,0.0060,0.60820
225,3.585,0.2641,0.30540,0.30540,0.0060,0.61080
226,3.601,0.2647,0.30670,0.30670,0.0060,0.61340
227,3.617,0.2647,0.30810,0.30810,0.0060,0.61620
228,3.634,0.2653,0.30940,0.30940,0.0060,0.61880
229,3.650,0.2641,0.31080,0.31080,0.0060,0.62160
230,3.666,0.2647,0.31210,0.31210,0.0060,0.62420
231,3.682,0.2659,0.31340,0.31340,0.0060,0.62680
232,3.697,0.2665,0.31470,0.31470,0.0060,0.62940
233,3.713,0.2671,0.31610,0.31610,0.0060,0.63220
234,3.729,0.2678,0.31740,0.31740,0.0061,0.63480
235,3.746,0.2690,0.31880,0.31880,0.0061,0.63760
236,3.762,0.2702,0.32010,0.32010,0.0061,0.64020
237,3.778,0.2708,0.32140,0.32140,0.0061,0.64280
238,3.793,0.2714,0.32270,0.32270,0.0061,0.64540
239,3.809,0.2714,0.32410,0.32410,0.0061,0.64820
240,3.826,0.2708,0.32540,0.32540,0.0061,0.65080
241,3.841,0.2702,0.32670,0.32670,0.0061,0.65340
242,3.858,0.2714,0.32800,0.32800,0.0061,0.65600
243,3.874,0.2726,0.32940,0.32940,0.0062,0.65880
244,3.889,0.2733,0.33070,0.33070,0.0062,0.66140
245,3.906,0.2739,0.33210,0.33210,0.0062,0.66420
246,3.922,0.2745,0.33340,0.33340,0.0062,0.66680
247,3.938,0.2751,0.33470,0.33470,0.0062,0.66940
