일련번호,시간,하중,변위,테이블,강도,변형율
,[sec],[kN],[mm],[mm],[kN/mm²],[%]
1,0.000,0.0000,0.00000,0.00520,0.0000,0.00000
2,0.007,0.0000,0.00650,0.00650,0.0000,0.01300
3,0.022,0.0000,0.00780,0.00780,0.0000,0.01560
4,0.038,0.0000,0.00910,0.00910,0.0000,0.01820
5,0.054,0.0000,0.01120,0.01120,0.0000,0.02240
6,0.070,0.0000,0.01250,0.01250,0.0000,0.02500
7,0.086,0.0110,0.01380,0.01380,0.0002,0.02760
8,0.102,0.0116,0.01510,0.01510,0.0003,0.03020
9,0.118,0.0141,0.01640,0.01640,0.0003,0.03280
10,0.134,0.0147,0.01780,0.01780,0.0003,0.03560
11,0.150,0.0159,0.01910,0.01910,0.0004,0.03820
12,0.167,0.0171,0.02040,0.02040,0.0004,0.04080
13,0.182,0.0184,0.02180,0.02180,0.0004,0.04360
14,0.198,0.0196,0.02310,0.02310,0.0004,0.04620
15,0.214,0.0214,0.02450,0.02450,0.0005,0.04900
16,0.230,0.0233,0.02580,0.02580,0.0005,0.05160
17,0.246,0.0251,0.02710,0.02710,0.0006,0.05420
18,0.262,0.0263,0.02840,0.02840,0.0006,0.05680
19,0.278,0.0275,0.02980,0.02980,0.0006,0.05960
20,0.294,0.0306,0.03110,0.03110,0.0007,0.06220
21,0.310,0.0318,0.03250,0.03250,0.0007,0.06500
22,0.326,0.0336,0.03380,0.03380,0.0008,0.06760
23,0.343,0.0355,0.03520,0.03520,0.0008,0.07040
24,0.358,0.0367,0.03650,0.03650,0.0008,0.07300
25,0.374,0.0373,0.03780,0.03780,0.0008,0.07560
26,0.390,0.0385,0.03920,0.03920,0.0009,0.07840
27,0.406,0.0404,0.04050,0.04050,0.0009,0.08100
28,0.423,0.0416,0.04180,0.04180,0.0009,0.08360
29,0.438,0.0434,0.04320,0.04320,0.0010,0.08640
30,0.454,0.0447,0.04450,0.04450,0.0010,0.08900
31,0.470,0.0471,0.04580,0.04580,0.0011,0.09160
32,0.486,0.0502,0.04720,0.04720,0.0011,0.09440
33,0.503,0.0508,0.04850,0.04850,0.0011,0.09700
34,0.518,0.0514,0.04980,0.04980,0.0011,0.09960
35,0.535,0.0520,0.05110,0.05110,0.0012,0.10220
36,0.550,0.0532,0.05250,0.05250,0.0012,0.10500
37,0.567,0.0550,0.05380,0.05380,0.0012,0.10760
38,0.582,0.0563,0.05510,0.05510,0.0013,0.11020
39,0.598,0.0581,0.05650,0.05650,0.0013,0.11300
40,0.614,0.0593,0.05780,0.05780,0.0013,0.11560
41,0.631,0.0612,0.05910,0.05910,0.0014,0.11820
42,0.647,0.0630,0.06050,0.06050,0.0014,0.12100
43,0.664,0.0660,0.06180,0.06180,0.0015,0.12360
44,0.678,0.0667,0.06310,0.06310,0.0015,0.12620
45,0.694,0.0679,0.06440,0.06440,0.0015,0.12880
46,0.710,0.0691,0.06580,0.06580,0.0015,0.13160
47,0.727,0.0703,0.06710,0.06710,0.0016,0.13420
48,0.743,0.0715,0.06850,0.06850,0.0016,0.13700
49,0.759,0.0722,0.06980,0.06980,0.0016,0.13960
50,0.775,0.0740,0.07110,0.07110,0.0017,0.14220
51,0.792,0.0758,0.07250,0.07250,0.0017,0.14500
52,0.807,0.0770,0.07380,0.07380,0.0017,0.14760
53,0.822,0.0783,0.07520,0.07520,0.0017,0.15040
54,0.838,0.0807,0.07650,0.07650,0.0018,0.15300
55,0.854,0.0825,0.07780,0.07780,0.0018,0.15560
56,0.870,0.0832,0.07910,0.07910,0.0019,0.15820
57,0.887,0.0844,0.08050,0.08050,0.0019,0.16100
58,0.903,0.0856,0.08190,0.08190,0.0019,0.16380
59,0.919,0.0868,0.08320,0.08320,0.0019,0.16640
60,0.935,0.0880,0.08450,0.08450,0.0020,0.16900
61,0.951,0.0887,0.08580,0.08580,0.0020,0.17160
62,0.967,0.0893,0.08720,0.08720,0.0020,0.17440
63,0.983,0.0899,0.08850,0.08850,0.0020,0.17700
64,0.998,0.0899,0.08980,0.08980,0.0020,0.17960
65,1.016,0.0899,0.09110,0.09110,0.0020,0.18220
66,1.030,0.0917,0.09250,0.09250,0.0020,0.18500
67,1.047,0.0923,0.09380,0.09380,0.0021,0.18760
68,1.062,0.0942,0.09510,0.09510,0.0021,0.19020
69,1.079,0.0954,0.09650,0.09650,0.0021,0.19300
70,1.095,0.0966,0.09780,0.09780,0.0022,0.19560
71,1.112,0.0984,0.09910,0.09910,0.0022,0.19820
72,1.127,0.1003,0.10040,0.10040,0.0022,0.20080
73,1.143,0.1015,0.10180,0.10180,0.0023,0.20360
74,1.158,0.1033,0.10310,0.10310,0.0023,0.20620
75,1.175,0.1046,0.10440,0.10440,0.0023,0.20880
76,1.191,0.1064,0.10570,0.10570,0.0024,0.21140
77,1.207,0.1070,0.10710,0.10710,0.0024,0.21420
78,1.223,0.1070,0.10840,0.10840,0.0024,0.21680
79,1.239,0.1094,0.10980,0.10980,0.0024,0.21960
80,1.255,0.1113,0.11110,0.11110,0.0025,0.22220
81,1.271,0.1131,0.11240,0.11240,0.0025,0.22480
82,1.287,0.1149,0.11380,0.11380,0.0026,0.22760
83,1.303,0.1168,0.11510,0.11510,0.0026,0.23020
84,1.319,0.1186,0.11650,0.11650,0.0027,0.23300
85,1.335,0.1204,0.11780,0.11780,0.0027,0.23560
86,1.352,0.1217,0.11910,0.11910,0.0027,0.23820
87,1.367,0.1229,0.12050,0.12050,0.0027,0.24100
88,1.383,0.1241,0.12180,0.12180,0.0028,0.24360
89,1.399,0.1235,0.12320,0.12320,0.0028,0.24640
90,1.415,0.1241,0.12450,0.12450,0.0028,0.24900
91,1.432,0.1266,0.12580,0.12580,0.0028,0.25160
92,1.447,0.1290,0.12710,0.12710,0.0029,0.25420
93,1.465,0.1308,0.12850,0.12850,0.0029,0.25700
94,1.479,0.1327,0.12980,0.12980,0.0030,0.25960
95,1.495,0.1345,0.13120,0.13120,0.0030,0.26240
96,1.511,0.1363,0.13250,0.13250,0.0030,0.26500
97,1.528,0.1382,0.13380,0.13380,0.0031,0.26760
98,1.543,0.1394,0.13510,0.13510,0.0031,0.27020
