VX,VY,VZ,X,Y,Z
-2.527260658,-1.612593021,-0.682668014,-22788.52026,35471.20601,578.5866722
-2.342706153,-1.870374671,-0.683383646,-26236.1901,33005.45596,-388.5031194
-2.133244462,-2.10827038,-0.676833075,-29404.88886,30188.81947,-1351.453215
-1.901100894,-2.323752754,-0.663085899,-32260.95333,27051.22446,-2300.032136
-1.648745691,-2.514528926,-0.642288424,-34773.99495,23626.06202,-3224.145295
-1.378859809,-2.678572272,-0.614661632,-36917.32005,19949.72372,-4113.974732
-1.094311825,-2.814138742,-0.580499122,-38668.14434,16061.28768,-4960.060907
-0.79813099,-2.919785305,-0.540164635,-40007.83496,12002.15202,-5753.396653
-0.493460147,-2.994390771,-0.494086182,-40922.178,7815.390862,-6485.563192
-0.183539921,-3.0371607,-0.442753789,-41401.43999,3545.537286,-7148.77069
0.128333303,-3.047639769,-0.386713425,-41440.52201,-761.9934203,-7735.964327
0.438843308,-3.02571642,-0.326561005,-41039.01087,-5061.398934,-8240.900397
0.744687122,-2.97162404,-0.262936459,-40201.18402,-9306.946649,-8658.208729
1.042616652,-2.885936949,-0.196515514,-38935.94091,-13453.55045,-8983.457717
1.329460403,-2.7695672,-0.128005271,-37256.75204,-17457.07194,-9213.185489
1.602172459,-2.623750368,-0.058133256,-35181.44913,-21275.00206,-9344.953041
1.857851078,-2.450037525,0.012357077,-32732.1096,-24866.72064,-9377.357916
2.09377616,-2.250277152,0.08271569,-29934.7978,-28194.0201,-9310.057036
2.30744139,-2.026591765,0.152195032,-26819.23613,-31221.55737,-9143.766979
2.496575261,-1.781359174,0.220056432,-23418.54296,-33917.15042,-8880.255623
2.659166138,-1.517187628,0.285578068,-19768.88598,-36252.13279,-8522.326019
2.793485948,-1.236884772,0.348063511,-15909.05192,-38201.6911,-8073.782562
2.898105995,-0.943432045,0.406848083,-11880.09285,-39745.09192,-7539.396389
2.971914872,-0.639945724,0.461307409,-7724.790174,-40865.94214,-6924.841667
3.01412645,-0.329657313,0.510861528,-3487.385221,-41552.30572,-6236.661698
3.024292425,-0.0158625,0.554984073,787.1194335,-41796.8939,-5482.165794
3.002304746,0.298098084,0.59320532,5053.222528,-41597.10511,-4669.386282
2.948398085,0.608886149,0.625118999,9265.568129,-40955.07477,-3806.966554
2.863145643,0.91320007,0.650386152,13379.41134,-39877.6287,-2904.06899
2.747453527,1.207805338,0.668738192,17351.03055,-38376.21562,-1970.289917
2.602552268,1.489568533,0.679979918,21138.18686,-36466.80126,-1015.560704
2.429982732,1.755493955,0.683991851,24700.61782,-34169.68605,-50.03223756
2.231578876,2.002755609,0.680731363,28000.46692,-31509.27753,916.0348411
2.009448941,2.228725474,0.67023302,31002.66203,-28513.84002,1872.373582
1.765956333,2.430999017,0.652608493,33675.25631,-25215.23915,2808.807929
1.503690038,2.607425811,0.628045231,35989.8352,-21648.54335,3715.381373
1.225440355,2.756129463,0.596804673,37921.7797,-17851.69527,4582.449696
0.934164671,2.87553019,0.559218982,39450.5625,-13865.04645,5400.79819
0.632959052,2.964359172,0.515687742,40559.9341,-9730.969632,6161.728154
0.325019616,3.02167302,0.466672791,41238.10722,-5493.329781,6857.162095
0.013628458,3.046860408,0.412696519,41477.84266,-1197.291821,7479.685441
-0.297904041,3.039654375,0.354332895,41276.59794,3111.472694,8022.680738
-0.606265997,3.000132262,0.292202525,40636.5179,7387.155807,8480.37577
-0.90818549,2.928713109,0.226964658,39564.38574,11584.38741,8847.91186
-1.20044465,2.82615806,0.159314646,38071.62413,15658.42984,9121.370284
-1.479943705,2.693554853,0.089970058,36174.0632,19566.06872,9297.849449
-1.743704303,2.532316493,0.019669885,33891.92131,23265.65943,9375.46763
-1.988925252,2.344156182,-0.050839108,31249.44567,26717.90632,9353.401653
-2.213000811,2.131073268,-0.120807636,28274.71488,29886.12045,9231.885223
-2.413547024,1.895334861,-0.189491231,24999.38007,32736.58999,9012.21109
-2.588435072,1.639442716,-0.256160841,21458.20284,35239.05259,8696.709525
-2.735802708,1.366120564,-0.320106643,17688.87897,37366.8578,8288.737702
-2.854083404,1.078273851,-0.380648837,13731.48055,39097.38364,7792.632987
-2.942018194,0.778968666,-0.437142665,9628.164914,40412.20742,7213.682322
-2.980499387,0.591223384,-0.469506859,7059.805465,41006.40502,6820.504609
