frame_index,satid,frametype,ants.deployment[0],ants.deployment[1],ants.deployment[2],ants.deployment[3],ants.temp[0],ants.temp[1],bob.3v3current,bob.3v3voltage,bob.5voltage,bob.paneltempX+,bob.paneltempX-,bob.paneltempY+,bob.paneltempY-,bob.sunsensor[0],bob.sunsensor[1],bob.sunsensor[2],eps.MPPTmode,eps.batterytemp,eps.batteryvoltage,eps.boostconvertertemp[0],eps.boostconvertertemp[1],eps.boostconvertertemp[2],eps.latchupcount3v3,eps.latchupcount5v,eps.photocurrent,eps.photovoltage[0],eps.photovoltage[1],eps.photovoltage[2],eps.rebootcount,eps.resetcause,eps.softwareerrors,eps.systemcurrent,pa.boardcurr,pa.boardtemp,pa.fwdpwr,pa.revpwr,rf.rxcurrent,rf.rxdoppler,rf.rxrssi,rf.temp,rf.tx3v3current,rf.tx5vcurrent,sw.datavalid[0],sw.datavalid[1],sw.datavalid[2],sw.datavalid[3],sw.datavalid[4],sw.datavalid[5],sw.datavalid[6],sw.deploymentwait,sw.dtmfcmdcount,sw.dtmfcmdsuccess,sw.dtmflastcmd,sw.eclipse,sw.hwabf,sw.safemode,sw.seqnumber,sw.swabf
13,FC1FM,FM3,True,True,True,True,153,153,138,3276,4956,16.238499999999988,15.708300000000008,20.602000000000004,10.45059999999998,36,7,5,1,16,7947,16,16,17,0,0,229,3611,3588,3806,1472,3,0,160,50.9083,151,70.99894823008935,10.089265726747575,25.44,170,181,18.843999999999994,36.888,35.616,True,True,True,True,True,True,True,False,13,True,18,True,True,False,888827,False
14,FC1FM,HR2,True,True,True,True,153,153,141,3276,4956,15.823900000000009,15.708300000000008,20.602000000000004,10.45059999999998,979,977,51,1,17,7968,16,16,17,0,0,300,3633,3616,3885,1472,3,0,174,45.4123,151,53.74980302641751,10.616511202712609,25.44,162,181,18.843999999999994,38.160000000000004,35.616,True,True,True,True,True,True,True,False,13,True,18,True,True,False,888827,False
15,FC1FM,FM4,True,True,True,True,153,153,143,3280,4956,15.823900000000009,15.708300000000008,20.602000000000004,10.45059999999998,5,975,58,1,17,7968,16,16,17,0,0,304,3812,3795,3907,1472,3,0,155,45.4123,151,52.525071110564014,7.215357638064403,25.44,159,182,18.843999999999994,36.888,35.616,True,True,True,True,True,True,True,False,13,True,18,True,True,False,888827,False
16,FC1FM,FM5,True,True,True,True,153,153,143,3276,4956,16.238499999999988,15.708300000000008,20.602000000000004,10.45059999999998,12,9,4,1,17,7958,16,16,17,0,0,250,4253,3599,3633,1472,3,0,169,48.7099,152,65.4283317795771,11.157604562861017,25.44,170,182,17.986999999999995,36.888,35.616,True,True,True,True,True,True,True,False,13,True,18,True,True,False,888827,False
17,FC1FM,FM6,True,True,True,True,153,153,142,3280,4956,16.238499999999988,15.708300000000008,20.602000000000004,10.45059999999998,980,977,22,1,17,7968,16,16,17,0,0,329,3924,3616,4019,1472,3,0,164,42.6643,152,47.771437089581596,7.659985949627053,25.44,169,182,18.843999999999994,36.888,35.616,True,True,True,True,True,True,True,False,13,True,18,True,True,False,888827,False
18,FC1FM,HR3,True,True,True,True,153,153,143,3276,4956,15.823900000000009,15.708300000000008,20.602000000000004,10.45059999999998,8,974,398,1,17,7958,16,16,17,0,0,266,4142,3650,3627,1472,3,0,155,43.7635,152,51.31487894504958,7.659985949627053,25.44,159,182,17.986999999999995,36.888,35.616,True,True,True,True,True,True,True,False,13,True,18,True,True,False,888827,False
19,FC1FM,FM9,True,True,True,True,153,153,139,3276,4956,15.823900000000009,15.708300000000008,20.602000000000004,10.241899999999987,16,973,731,1,17,7958,16,16,17,0,0,272,3700,4130,3745,1472,3,0,160,40.4659,151,42.15550909830489,6.784415081640392,25.44,163,182,18.843999999999994,36.888,35.616,True,True,True,True,True,True,True,False,13,True,18,True,True,False,888827,False
20,FC1FM,WO2,True,True,True,True,153,153,140,3276,4956,16.238499999999988,15.708300000000008,20.602000000000004,10.241899999999987,979,398,5,1,17,7968,16,16,17,0,0,307,3812,3784,4086,1472,3,0,155,44.3131,151,51.31487894504958,7.659985949627053,25.44,167,182,18.843999999999994,37.524,35.616,True,True,True,True,True,True,True,False,13,True,18,True,True,False,888828,False
21,FC1FM,WO3,True,True,True,True,153,153,144,3280,4956,15.823900000000009,15.708300000000008,20.602000000000004,10.241899999999987,535,977,805,1,17,7968,16,16,17,0,0,314,3706,3694,3661,1472,3,0,160,42.1147,151,48.93807243224933,6.784415081640392,25.44,164,182,18.843999999999994,36.252,35.616,True,True,True,True,True,True,True,False,13,True,18,True,True,False,888828,False
22,FC1FM,WO4,True,True,True,True,153,153,141,3276,4956,16.031199999999984,15.708300000000008,20.602000000000004,10.241899999999987,4,868,6,1,17,7978,16,16,17,0,0,345,4091,4075,4080,1472,3,0,155,44.3131,151,52.525071110564014,8.59039909594262,25.44,163,181,18.843999999999994,37.524,35.616,True,True,True,True,True,True,True,False,13,True,18,True,True,False,888828,False
23,FC1FM,WO5,True,True,True,True,153,153,155,3276,4956,16.238499999999988,15.5,20.602000000000004,10.241899999999987,979,19,4,1,17,7958,16,16,17,0,0,278,3711,3577,4086,1472,3,0,187,75.6403,151,147.8866373951422,20.949045696854537,25.44,166,181,18.843999999999994,40.704,35.616,True,True,True,True,True,True,True,False,13,True,18,True,True,False,888828,False
24,FC1FM,WO6,True,True,True,True,153,153,144,3276,4956,15.616600000000005,15.5,20.602000000000004,10.241899999999987,979,976,625,1,17,7968,17,16,17,0,0,309,3644,3616,4248,1472,3,0,174,43.7635,150,50.11921619932821,14.07150908692263,25.44,159,182,18.843999999999994,37.524,35.616,True,True,True,True,True,True,True,False,13,True,18,True,True,False,888828,False
25,FC1FM,WO7,True,True,True,True,153,153,144,3276,4956,16.031199999999984,15.708300000000008,20.602000000000004,10.241899999999987,4,974,10,1,17,7968,16,17,17,0,0,328,3980,3745,3963,1472,3,0,155,49.2595,150,64.07229435898384,15.987303745764603,25.44,152,182,18.843999999999994,38.160000000000004,35.616,True,True,True,True,True,True,True,False,13,True,18,True,True,False,888828,False
26,FC1FM,WO8,True,True,True,True,153,153,148,3280,4956,16.238499999999988,15.708300000000008,20.602000000000004,10.241899999999987,455,10,4,1,17,7947,16,17,17,0,0,246,4024,3516,3918,1472,3,0,164,53.1067,150,75.33095510443873,12.864179726290473,25.44,166,181,18.843999999999994,39.432,35.616,True,True,True,True,True,True,True,False,13,True,18,True,True,False,888828,False
27,FC1FM,WO9,True,True,True,True,153,153,145,3276,4956,15.616600000000005,15.5,20.602000000000004,10.033199999999994,978,977,130,1,17,7968,16,17,17,0,0,325,4091,3795,3795,1472,3,0,169,49.8091,150,65.4283317795771,10.089265726747575,25.44,161,182,18.843999999999994,37.524,35.616,True,True,True,True,True,True,True,False,13,True,18,True,True,False,888828,False
28,FC1FM,WO10,True,True,True,True,153,153,140,3280,4956,15.616600000000005,15.5,20.602000000000004,10.033199999999994,4,974,16,1,17,7968,16,17,17,0,0,310,3812,4019,3689,1472,3,0,155,40.4659,150,42.15550909830489,5.963483782568765,25.44,173,182,17.986999999999995,36.252,35.616,True,True,True,True,True,True,True,False,13,True,18,True,True,False,888828,False
